run_id,snapshot_date_key,kpi_id,market_id,team_id,actual_value,target_value,prior_period_value,variance_value,variance_pct,numerator_value,denominator_value,notes
49,20260430,9,,2,0.5,,0.5,0.0,0.0,1.0,2.0,Computed for 2026-04 cut `team::TEAM_B`.
49,20260430,1,,3,1.0,,1.0,0.0,0.0,1.0,,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,2,,3,0.0,,1.0,-1.0,-1.0,0.0,,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,3,,3,0.0,,1.0,-1.0,-1.0,0.0,1.0,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,4,,3,0.0,,4.0,-4.0,-1.0,0.0,,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,5,,3,1.0,,0.0,1.0,,1.0,,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,6,,3,0.0,,0.0,0.0,,0.0,,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,7,,3,0.0,,0.0,0.0,,0.0,1.0,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,8,,3,1.0,,1.0,0.0,0.0,1.0,1.0,Computed for 2026-04 cut `team::TEAM_C`.
49,20260430,9,,3,1.0,,1.0,0.0,0.0,1.0,1.0,Computed for 2026-04 cut `team::TEAM_C`.
