reporting_period,cut_type,cut_name,kpi_code,kpi_name,actual_value,target_value,prior_period_value,variance_value,variance_pct,numerator_value,denominator_value,notes
2026-04,team,TEAM_B,backlog_over_sla_count,Backlog Over SLA Count,0,,0,0,,0,,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_B,completed_records,Completed Records,0,,0,0,,0,,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_B,completion_rate,Completion Rate,0,,0,0,,0,2,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_B,open_backlog_count,Open Backlog Count,2,,2,0,0,2,,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_B,qa_issue_rate,QA Issue Rate,0,,0,0,,0,2,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_B,required_field_completeness_rate,Required Field Completeness Rate,0.5,,0.5,0,0,1,2,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_B,total_records_received,Total Records Received,2,,2,0,0,2,,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_B,unique_npi_rate,Unique NPI Rate,0.5,,0.5,0,0,1,2,Computed for 2026-04 cut `team::TEAM_B`.
2026-04,team,TEAM_C,avg_turnaround_days,Average Turnaround Days,0,,4,-4,-1,0,,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,backlog_over_sla_count,Backlog Over SLA Count,0,,0,0,,0,,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,completed_records,Completed Records,0,,1,-1,-1,0,,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,completion_rate,Completion Rate,0,,1,-1,-1,0,1,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,open_backlog_count,Open Backlog Count,1,,0,1,,1,,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,qa_issue_rate,QA Issue Rate,0,,0,0,,0,1,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,required_field_completeness_rate,Required Field Completeness Rate,1,,1,0,0,1,1,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,total_records_received,Total Records Received,1,,1,0,0,1,,Computed for 2026-04 cut `team::TEAM_C`.
2026-04,team,TEAM_C,unique_npi_rate,Unique NPI Rate,1,,1,0,0,1,1,Computed for 2026-04 cut `team::TEAM_C`.
